,Province_State,Date,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7,retail_recreation,grocery_pharmacy,parks,transit,work,residential
14472,Vermont,2020-09-30,1752,58,3,0,4.285714285714286,0.0,3.5714285714285716,0.0,VT,53.24,62.85,Vermont,623989.0,0.6868252943103621,0.0,-5.666666666666667,4.222222222222222,53.5,-34.5,-26.642857142857142,8.25
14473,Vermont,2020-10-01,1755,58,3,0,4.428571428571429,0.0,3.5714285714285716,0.0,VT,53.24,62.85,Vermont,623989.0,0.7097194707873742,0.0,0.8333333333333334,13.88888888888889,118.5,-27.4,-20.642857142857142,4.416666666666667
14474,Vermont,2020-10-02,1768,58,13,0,5.285714285714286,0.0,4.428571428571429,0.0,VT,53.24,62.85,Vermont,623989.0,0.8470845296494466,0.0,-8.166666666666666,3.5833333333333335,31.0,-44.285714285714285,-23.071428571428573,8.083333333333334
14475,Vermont,2020-10-03,1778,58,10,0,5.571428571428571,0.0,4.857142857142857,0.0,VT,53.24,62.85,Vermont,623989.0,0.8928728826034708,0.0,4.75,10.7,131.0,-20.4,-9.0,1.5
14476,Vermont,2020-10-04,1785,58,7,0,6.142857142857143,0.0,5.0,0.0,VT,53.24,62.85,Vermont,623989.0,0.9844495885115191,0.0,8.7,15.833333333333334,161.5,-16.0,-10.0,0.0
14477,Vermont,2020-10-05,1817,58,32,0,10.285714285714286,0.0,7.0,0.0,VT,53.24,62.85,Vermont,623989.0,1.6483807063448692,0.0,2.090909090909091,6.777777777777778,107.0,-25.25,-21.714285714285715,5.333333333333333
14478,Vermont,2020-10-06,1821,58,4,0,10.285714285714286,0.0,7.142857142857143,0.0,VT,53.24,62.85,Vermont,623989.0,1.6483807063448692,0.0,0.0,8.3,129.0,-26.5,-21.285714285714285,5.416666666666667
14479,Vermont,2020-10-07,1827,58,6,0,10.714285714285714,0.0,7.5,0.0,VT,53.24,62.85,Vermont,623989.0,1.7170632357759052,0.0,-7.333333333333333,1.7777777777777777,42.5,-31.0,-24.928571428571427,8.583333333333334
14480,Vermont,2020-10-08,1838,58,11,0,11.857142857142858,0.0,8.142857142857142,0.0,VT,53.24,62.85,Vermont,623989.0,1.900216647592002,0.0,-0.6666666666666666,9.333333333333334,88.5,-32.8,-20.785714285714285,6.583333333333333
14481,Vermont,2020-10-09,1846,58,8,0,11.142857142857142,0.0,8.214285714285714,0.0,VT,53.24,62.85,Vermont,623989.0,1.7857457652069415,0.0,-2.75,4.25,115.5,-36.0,-23.285714285714285,7.416666666666667
14482,Vermont,2020-10-10,1857,58,11,0,11.285714285714286,0.0,8.428571428571429,0.0,VT,53.24,62.85,Vermont,623989.0,1.8086399416839538,0.0,8.083333333333334,11.7,164.0,-22.2,-9.0,2.3333333333333335
14483,Vermont,2020-10-11,1868,58,11,0,11.857142857142858,0.0,9.0,0.0,VT,53.24,62.85,Vermont,623989.0,1.900216647592002,0.0,21.11111111111111,19.714285714285715,203.5,-17.0,-8.615384615384615,1.3333333333333333
14484,Vermont,2020-10-12,1876,58,8,0,8.428571428571429,0.0,9.357142857142858,0.0,VT,53.24,62.85,Vermont,623989.0,1.3507564121437121,0.0,10.181818181818182,6.777777777777778,137.0,-23.75,-31.266666666666666,8.083333333333334
14485,Vermont,2020-10-13,1886,58,10,0,9.285714285714286,0.0,9.785714285714286,0.0,VT,53.24,62.85,Vermont,623989.0,1.4881214710057848,0.0,-8.0,0.6,26.0,-35.25,-22.642857142857142,9.333333333333334
14486,Vermont,2020-10-14,1889,58,3,0,8.857142857142858,0.0,9.785714285714286,0.0,VT,53.24,62.85,Vermont,623989.0,1.4194389415747484,0.0,-3.6666666666666665,6.0,110.0,-24.5,-23.0,7.666666666666667
14487,Vermont,2020-10-15,1903,58,14,0,9.285714285714286,0.0,10.571428571428571,0.0,VT,53.24,62.85,Vermont,623989.0,1.4881214710057848,0.0,-3.0833333333333335,8.333333333333334,113.0,-29.6,-20.428571428571427,6.333333333333333
14488,Vermont,2020-10-16,1915,58,12,0,9.857142857142858,0.0,10.5,0.0,VT,53.24,62.85,Vermont,623989.0,1.579698176913833,0.0,-14.666666666666666,-2.5833333333333335,-3.6666666666666665,-40.6,-24.571428571428573,10.916666666666666
14489,Vermont,2020-10-17,1926,58,11,0,9.857142857142858,0.0,10.571428571428571,0.0,VT,53.24,62.85,Vermont,623989.0,1.579698176913833,0.0,-5.916666666666667,1.2,109.0,-45.4,-10.692307692307692,3.3333333333333335
14490,Vermont,2020-10-18,1937,58,11,0,9.857142857142858,0.0,10.857142857142858,0.0,VT,53.24,62.85,Vermont,623989.0,1.579698176913833,0.0,-4.7272727272727275,4.714285714285714,104.5,-41.75,-11.153846153846153,2.3333333333333335
14491,Vermont,2020-10-19,1946,58,9,0,10.0,0.0,9.214285714285714,0.0,VT,53.24,62.85,Vermont,623989.0,1.602592353390845,0.0,-7.9,-3.0,26.0,-34.5,-20.5,7.5
14492,Vermont,2020-10-20,1956,58,10,0,10.0,0.0,9.642857142857142,0.0,VT,53.24,62.85,Vermont,623989.0,1.602592353390845,0.0,-12.3,-1.6,31.0,-38.5,-21.214285714285715,8.833333333333334
14493,Vermont,2020-10-21,1971,58,15,0,11.714285714285714,0.0,10.285714285714286,0.0,VT,53.24,62.85,Vermont,623989.0,1.8773224711149896,0.0,-9.333333333333334,-0.6666666666666666,42.0,-28.25,-23.428571428571427,9.0
14494,Vermont,2020-10-22,1987,58,16,0,12.0,0.0,10.642857142857142,0.0,VT,53.24,62.85,Vermont,623989.0,1.923110824069014,0.0,-9.916666666666666,2.6666666666666665,72.5,-34.0,-19.214285714285715,6.916666666666667
14495,Vermont,2020-10-23,2016,58,29,0,14.428571428571429,0.0,12.142857142857142,0.0,VT,53.24,62.85,Vermont,623989.0,2.3123118241782192,0.0,-11.583333333333334,-2.9166666666666665,58.333333333333336,-28.714285714285715,-20.928571428571427,7.666666666666667
14496,Vermont,2020-10-24,2043,58,27,0,16.714285714285715,0.0,13.285714285714286,0.0,VT,53.24,62.85,Vermont,623989.0,2.6786186478104126,0.0,-11.75,-2.6,47.0,-47.0,-11.384615384615385,4.166666666666667
14497,Vermont,2020-10-25,2073,58,30,0,19.428571428571427,0.0,14.642857142857142,0.0,VT,53.24,62.85,Vermont,623989.0,3.1136080008736413,0.0,-8.272727272727273,1.375,69.0,-49.0,-11.23076923076923,2.0
14498,Vermont,2020-10-26,2083,58,10,0,19.571428571428573,0.0,14.785714285714286,0.0,VT,53.24,62.85,Vermont,623989.0,3.1365021773506543,0.0,-10.25,-4.777777777777778,-1.0,-39.5,-20.5,8.666666666666666
14499,Vermont,2020-10-27,2113,58,30,0,22.428571428571427,0.0,16.214285714285715,0.0,VT,53.24,62.85,Vermont,623989.0,3.594385706890895,0.0,-8.7,0.1,37.5,-34.0,-20.571428571428573,7.916666666666667
14500,Vermont,2020-10-28,2120,58,7,0,21.285714285714285,0.0,16.5,0.0,VT,53.24,62.85,Vermont,623989.0,3.411232295074799,0.0,-11.5,-2.1,27.0,-27.666666666666668,-23.5,9.583333333333334
14501,Vermont,2020-10-29,2141,58,21,0,22.0,0.0,17.0,0.0,VT,53.24,62.85,Vermont,623989.0,3.525703177459859,0.0,-12.833333333333334,-0.7777777777777778,5.5,-27.8,-21.214285714285715,8.416666666666666
14502,Vermont,2020-10-30,2155,58,14,0,19.857142857142858,0.0,17.142857142857142,0.0,VT,53.24,62.85,Vermont,623989.0,3.1822905303046785,0.0,-17.75,-6.833333333333333,-9.0,-35.57142857142857,-22.714285714285715,9.583333333333334
14503,Vermont,2020-10-31,2179,58,24,0,19.428571428571427,0.0,18.071428571428573,0.0,VT,53.24,62.85,Vermont,623989.0,3.1136080008736413,0.0,-17.333333333333332,-4.6,26.0,-45.0,-11.307692307692308,3.8333333333333335
14504,Vermont,2020-11-01,2196,58,17,0,17.571428571428573,0.0,18.5,0.0,VT,53.24,62.85,Vermont,623989.0,2.815983706672485,0.0,-18.727272727272727,-4.875,-7.666666666666667,-58.0,-13.384615384615385,4.0
14505,Vermont,2020-11-02,2219,58,23,0,19.428571428571427,0.0,19.5,0.0,VT,53.24,62.85,Vermont,623989.0,3.1136080008736413,0.0,-16.09090909090909,-8.222222222222221,-9.0,-43.5,-21.071428571428573,8.916666666666666
14506,Vermont,2020-11-03,2237,58,18,0,17.714285714285715,0.0,20.071428571428573,0.0,VT,53.24,62.85,Vermont,623989.0,2.8388778831494967,0.0,-11.454545454545455,-2.6,1.0,-37.25,-24.285714285714285,9.666666666666666
14507,Vermont,2020-11-04,2267,58,30,0,21.0,0.0,21.142857142857142,0.0,VT,53.24,62.85,Vermont,623989.0,3.3654439421207747,0.0,-14.666666666666666,-6.1,16.0,-36.75,-24.142857142857142,10.166666666666666
14508,Vermont,2020-11-05,2303,58,36,0,23.142857142857142,0.0,22.571428571428573,0.0,VT,53.24,62.85,Vermont,623989.0,3.7088565892759555,0.0,-13.333333333333334,-1.8888888888888888,48.5,-41.4,-19.785714285714285,8.083333333333334
14509,Vermont,2020-11-06,2326,58,23,0,24.428571428571427,0.0,22.142857142857142,0.0,VT,53.24,62.85,Vermont,623989.0,3.9149041775690643,0.0,-17.25,-9.666666666666666,17.333333333333332,-37.142857142857146,-21.357142857142858,9.25
14510,Vermont,2020-11-07,2347,59,21,1,24.0,0.14285714285714285,21.714285714285715,0.07142857142857142,VT,53.24,62.85,Vermont,623989.0,3.846221648138028,0.02289417647701207,-14.333333333333334,-7.222222222222222,83.5,-47.75,-7.538461538461538,4.333333333333333
14511,Vermont,2020-11-08,2392,59,45,0,28.0,0.14285714285714285,22.785714285714285,0.07142857142857142,VT,47.69,58.68,Vermont,623989.0,4.487258589494366,0.02289417647701207,-10.909090909090908,-2.0,86.5,-50.25,-11.0,2.3333333333333335
14512,Vermont,2020-11-09,2415,59,23,0,28.0,0.14285714285714285,23.714285714285715,0.07142857142857142,VT,47.69,58.68,Vermont,623989.0,4.487258589494366,0.02289417647701207,-10.583333333333334,-5.777777777777778,53.0,-40.0,-19.785714285714285,7.583333333333333
14513,Vermont,2020-11-10,2462,59,47,0,32.142857142857146,0.14285714285714285,24.928571428571427,0.07142857142857142,VT,47.69,58.68,Vermont,623989.0,5.151189707327717,0.02289417647701207,-9.3,-2.5,74.5,-37.5,-21.285714285714285,7.75
14514,Vermont,2020-11-11,2535,59,73,0,38.285714285714285,0.14285714285714285,29.642857142857142,0.07142857142857142,VT,47.69,58.68,Vermont,623989.0,6.135639295839235,0.02289417647701207,-12.25,-4.6,9.0,-38.0,-31.0,12.166666666666666
14515,Vermont,2020-11-12,2651,59,116,0,49.714285714285715,0.14285714285714285,36.42857142857143,0.07142857142857142,VT,47.69,58.68,Vermont,623989.0,7.967173414000201,0.02289417647701207,-15.916666666666666,-2.0,14.5,-30.8,-20.714285714285715,8.916666666666666
