Province_State,Date,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7,retail_recreation,grocery_pharmacy,parks,transit,work,residential
Alabama,1/22/20,0,0,0,0,,,,,AL,0,0,Alabama,4903185,,,,,,,,
Alabama,1/23/20,0,0,0,0,,,,,AL,0,0,Alabama,4903185,,,,,,,,
Alabama,1/24/20,0,0,0,0,,,,,AL,0,0,Alabama,4903185,,,,,,,,
Alabama,1/25/20,0,0,0,0,,,,,AL,0,0,Alabama,4903185,,,,,,,,
Alabama,1/26/20,0,0,0,0,,,,,AL,0,0,Alabama,4903185,,,,,,,,
Alabama,1/27/20,0,0,0,0,,,,,AL,0,0,Alabama,4903185,,,,,,,,
Alabama,1/28/20,0,0,0,0,0,0,,,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,1/29/20,0,0,0,0,0,0,,,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,1/30/20,0,0,0,0,0,0,,,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,1/31/20,0,0,0,0,0,0,,,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/1/20,0,0,0,0,0,0,,,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/2/20,0,0,0,0,0,0,,,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/3/20,0,0,0,0,0,0,,,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/4/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/5/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/6/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/7/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/8/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/9/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/10/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/11/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/12/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/13/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/14/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,,,,,,
Alabama,2/15/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,5.155172414,0.230769231,49.57142857,5.761904762,0.784313725,-0.863636364
Alabama,2/16/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,-1.454545455,-4.015625,-5.476190476,2.136363636,-1.92,0.523809524
Alabama,2/17/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,-1.169491525,-4.476190476,12.93333333,5.727272727,-16.26470588,4.333333333
Alabama,2/18/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,-4.280701754,-5,-12.46666667,-0.681818182,0.338235294,1.435897436
Alabama,2/19/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,1.438596491,-0.73015873,6.666666667,3.714285714,1.397058824,0
Alabama,2/20/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,-7.568965517,-6.6875,-27.58823529,1.363636364,-0.676470588,2.923076923
Alabama,2/21/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,0.523809524,-2.8,9.333333333,6.136363636,1.441176471,0.315789474
Alabama,2/22/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,4.913793103,0.784615385,61.58333333,10.31818182,4.764705882,-1.454545455
Alabama,2/23/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,3.145454545,0.349206349,12.05555556,10.81818182,1.06,-0.333333333
Alabama,2/24/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,-3.684210526,-5.85483871,-19.6,-1.5,0.617647059,2.153846154
Alabama,2/25/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,8.403508772,-0.609375,31.83333333,5.681818182,0.985294118,-0.41025641
Alabama,2/26/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,18.63157895,3.492063492,5,10.71428571,1.882352941,-1.205128205
Alabama,2/27/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,16.64912281,5.838709677,9.846153846,10.18181818,2.102941176,-0.974358974
Alabama,2/28/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,14.22580645,6.015625,20.35714286,8,1,-1.578947368
Alabama,2/29/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,19.68965517,9.015625,73.33333333,19.6,4.058823529,-3.043478261
Alabama,3/1/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,22.57407407,9.836065574,43.86666667,22.2,2.92,-2.095238095
Alabama,3/2/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,10.03508772,2.380952381,-11.93333333,2.590909091,2.507462687,0.564102564
Alabama,3/3/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,26.51785714,15.20967742,33.25,5.636363636,1.617647059,-1.384615385
Alabama,3/4/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,7.421052632,-1.492063492,-5.583333333,2.80952381,-0.294117647,1.076923077
Alabama,3/5/20,0,0,0,0,0,0,0,0,AL,0,0,Alabama,4903185,0,0,10.10526316,6.09375,-1,4.409090909,1.573529412,0.794871795
Alabama,3/6/20,0,0,0,0,0,0,0,0,AL,0,5.56,Alabama,4903185,0,0,9.147540984,1.578125,27.35714286,9.636363636,1.75,-1.078947368
Alabama,3/7/20,0,0,0,0,0,0,0,0,AL,0,5.56,Alabama,4903185,0,0,14.43103448,5.96875,75.81818182,19.35,6.784313725,-2.636363636
